吖吖的	a a de
吖菜	a cai
吖潮	a chao
吖处	a chu
吖丁啶羧酸	a ding ding suo suan
吖啶	a ding
吖啶橙	a ding cheng
吖啶橙染色液	a ding cheng ran se ye
吖啶红	a ding hong
吖啶黄	a ding huang
吖啶黄吖啶黄素原顶体	a ding huang a ding huang su yuan ding ti
吖啶黄素	a ding huang su
吖啶类生物碱	a ding lei sheng wu jian
吖啶燃料	a ding ran liao
吖啶酸	a ding suan
吖啶羧酸	a ding suo suan
吖啶酮	a ding tong
吖啶酮乙酸	a ding tong yi suan
吖啶盐酸盐	a ding yan suan yan
吖豆	a dou
吖肥	a fei
吖龟	a gui
吖黄素	a huang su
吖黄素盐酸盐	a huang su yan suan yan
吖基	a ji
吖鸡	a ji
吖俊	a jun
吖君	a jun
吖嘞	a le
吖灵	a ling
吖嘛	a ma
吖马	a ma
吖猫	a mao
吖妹	a mei
吖们	a men
吖日	a ri
吖茹	a ru
吖婷	a ting
吖呜	a wu
吖欣	a xin
吖仔	a zai
吖轴	a zhou
吖子	a zi
吖子嘠	a zi ga
啊啊啊啊啊啊咋	a a a a a a za
啊啊啊啊啊的	a a a a a de
啊啊啊啊爱人	a a a a ai ren
啊啊啊啊安全	a a a a an quan
啊啊啊丹丹	a a a dan dan
啊啊啊个	a a a ge
啊啊啊事实上撒	a a a shi shi shang sa
啊啊啊我忘记了	a a a wo wang ji le
啊啊哒哒	a a da da
啊啊多少	a a duo shao
啊啊方法是	a a fang fa shi
啊啊是大的	a a shi da de
啊啊文	a a wen
啊啊呜呜	a a wu wu
啊啊一体式	a a yi ti shi
啊阿里旺旺	a a li wang wang
啊阿下萨嘛哈	a a xia sa ma ha
啊哎伊椒江店	a ai yi jiao jiang dian
啊奥班	a ao ban
啊吧	a ba
啊吧吧	a ba ba
啊吧吧吧	a ba ba ba
啊扒	a ba
啊爸	a ba
啊爸天	a ba tian
啊包	a bao
啊北郊	a bei jiao
啊北京路	a bei jing lu
啊呗	a bei
啊被你	a bei ni
啊蚌埠	a beng bu
啊博	a bo
啊波	a bo
啊波猪	a bo zhu
啊不都	a bu dou
啊不明	a bu ming
啊擦擦	a ca ca
啊沧州	a cang zhou
啊苍南	a cang nan
啊曾	a ceng
啊岔	a cha
啊差不多	a cha bu duo
啊茶与啊古	a cha yu a gu
啊长春	a chang chun
啊长沙	a chang sha
啊城区	a cheng qu
啊成	a cheng
啊成么	a cheng me
啊承德	a cheng de
啊诚实守信	a cheng shi shou xin
啊吃得消	a chi de xiao
啊吃饭啦	a chi fan la
啊吃饭了	a chi fan le
啊吃过啦	a chi guo la
啊吃过了	a chi guo le
啊吃好了	a chi hao le
啊吃了	a chi le
啊出来	a chu lai
啊出来啦	a chu lai la
啊出来了	a chu lai le
啊出来玩	a chu lai wan
啊出门了	a chu men le
啊出去	a chu qu
啊船长	a chuan zhang
啊吹吹	a chui chui
啊春	a chun
啊错	a cuo
啊哒	a da
啊大火炉	a da huo lu
啊大姐法拉	a da jie fa la
啊大爷	a da ye
啊打击我	a da ji wo
啊打雷了	a da lei le
啊搭	a da
啊达	a da
啊带我	a dai wo
啊到家	a dao jia
啊到家啦	a dao jia la
啊到家了	a dao jia le
啊到啦	a dao la
啊到了	a dao le
啊得	a de
啊得得	a de de
啊的	a de
啊的呗	a de bei
啊的带我	a de dai wo
啊的的	a de de
啊登	a deng
啊滴子	a di zi
啊第二句	a di er ju
啊第几集	a di ji ji
啊第一句	a di yi ju
啊嗲	a dia
啊懂得	a dong de
啊窦	a dou
啊对的	a dui de
啊对对对	a dui dui dui
啊对象	a dui xiang
啊多	a duo
啊多啊	a duo a
啊朵	a duo
啊恶灵	a e ling
啊恶心	a e xin
啊嗯哪	a en na
啊恩蓝拓男装旗舰店	a en lan tuo nan zhuang qi jian dian
啊二胎	a er tai
啊发现	a fa xian
啊方便	a fang bian
啊费	a fei
啊分钟	a fen zhong
啊风之神啊立于神湖之地	a feng zhi shen a li yu shen hu zhi di
啊嘎	a ga
啊该狗岩养	a gai gou yan yang
啊岗	a gang
啊钢头	a gang tou
啊高兴	a gao xing
啊个人	a ge ren
啊个四	a ge si
啊咯咯	a ge ge
啊咯是	a ge shi
啊公交	a gong jiao
啊宫	a gong
啊够了	a gou le
啊沟	a gou
啊苟屎	a gou shi
啊古与啊茶	a gu yu a cha
啊姑	a gu
啊广州	a guang zhou
啊硅	a gui
啊贵	a gui
啊过来	a guo lai
啊过头	a guo tou
啊哈哈	a ha ha
啊哈哈过	a ha ha guo
啊哈黑猫警长	a ha hei mao jing zhang
啊哈史酷比	a ha shi ku bi
啊害怕就	a hai pa jiu
啊海军	a hai jun
啊寒夜的方舟	a han ye de fang zhou
啊杭州市	a hang zhou shi
啊好啊	a hao a
啊好吃	a hao chi
啊好吃的	a hao chi de
啊好大雨	a hao da yu
啊好的	a hao de
啊好点	a hao dian
啊好点了	a hao dian le
啊好多次	a hao duo ci
啊好多人	a hao duo ren
啊好恶心	a hao e xin
啊好喝	a hao he
啊好看	a hao kan
啊好看啊	a hao kan a
啊好恐怖	a hao kong bu
啊好啦	a hao la
啊好了	a hao le
啊好闷	a hao men
啊好怕	a hao pa
啊好讨厌	a hao tao yan
啊好玩	a hao wan
啊好无语	a hao wu yu
啊好兄弟	a hao xiong di
啊好意思	a hao yi si
啊好用	a hao yong
啊呵呵说	a he he shuo
啊和人吧	a he ren ba
啊很有	a hen you
啊吼吼	a hou hou
啊划分	a hua fen
啊华农	a hua nong
啊怀	a huai
啊荒野	a huang ye
啊会的	a hui de
啊会是	a hui shi
啊会有	a hui you
啊回家	a hui jia
啊回家了	a hui jia le
啊回来	a hui lai
啊回来啦	a hui lai la
啊回来了	a hui lai le
啊回去	a hui qu
啊几	a ji
啊几个	a ji ge
啊几天	a ji tian
啊叽啊咗	a ji a zuo
啊记得	a ji de
啊记得了	a ji de le
啊加莎	a jia sha
啊驾	a jia
啊尖	a jian
啊介意	a jie yi
啊姐家情侣装	a jie jia qing lv zhuang
啊就对	a jiu dui
啊就好	a jiu hao
啊就是	a jiu shi
啊就行	a jiu xing
啊就一般性	a jiu yi ban xing
啊句话	a ju hua
啊巨无霸	a ju wu ba
啊娟姐	a juan jie
啊觉得	a jue de
啊卡	a ka
啊卡地亚	a ka di ya
啊卡尔	a ka er
啊开车	a kai che
啊开赛	a kai sai
啊开勿	a kai wu
啊开心	a kai xin
啊看到	a kan dao
啊看得清	a kan de qing
啊看见	a kan jian
啊看了	a kan le
啊康	a kang
啊克霍依拉村委会	a ke huo yi la cun wei hui
啊可	a ke
啊可爱	a ke ai
啊可能	a ke neng
啊可以	a ke yi
啊孔	a kong
啊恐怖	a kong bu
啊快的	a kuai de
啊狂哈斯的	a kuang ha si de
啊啦啦	a la la
啊喇彝族乡	a la yi zu xiang
啊拉	a la
啊拉吧拉	a la ba la
啊拉卡	a la ka
啊腊	a la
啊来啊	a lai a
啊来得及	a lai de ji
啊来的	a lai de
啊来了	a lai le
啊来恰	a lai qia
啊来塞	a lai sai
啊来事	a lai shi
啊来斯捷蝽	a lai si jie chun
啊赖	a lai
啊啷	a lang
啊老表	a lao biao
啊老喂	a lao wei
啊勒	a le
啊厉害	a li hai
啊里	a li
啊里郎	a li lang
啊里郎比	a li lang bi
啊里郎比萨	a li lang bi sa
啊两个	a liang ge
啊了了	a liao liao
啊列	a lie
啊林饭店	a lin fan dian
啊刘凡	a liu fan
啊溜溜	a liu liu
啊隆	a long
啊喽哈	a lou ha
啊楼	a lou
啊啰哈	a luo ha
啊罗哈	a luo ha
啊落	a luo
啊吗粽	a ma zong
啊嘛	a ma
啊嘛嘛	a ma ma
啊嘛天	a ma tian
啊嘛呀	a ma ya
啊妈	a ma
啊马尼衣服	a ma ni yi fu
啊麻	a ma
啊麻黄分哦	a ma huang fen o
啊麻将	a ma jiang
啊买买	a mai mai
啊卖萧的	a mai xiao de
啊慢	a man
啊曼达	a man da
啊满	a man
啊满意	a man yi
啊忙	a mang
啊忙啊	a mang a
啊忙啦	a mang la
啊芒	a mang
啊冒	a mao
啊么多	a me duo
啊么么	a me me
啊么么哒	a me me da
啊么么么	a me me me
啊没	a mei
啊没劲	a mei jin
啊没留住	a mei liu zhu
啊没有	a mei you
啊没有的	a mei you de
啊美	a mei
啊美的	a mei di
啊美丽	a mei li
啊美丽烧	a mei li shao
啊美丽烧烤	a mei li shao kao
啊镁	a mei
啊们了	a men le
啊蒙面	a meng mian
啊咪	a mi
啊咪家	a mi jia
啊米	a mi
啊米鲁伽尔鲁	a mi lu jia er lu
啊秒多我游的好快啊	a miao duo wo you de hao kuai a
啊墨	a mo
啊莫	a mo
啊魔理沙	a mo li sha
啊某	a mou
啊木林	a mu lin
啊那	a na
啊那那	a na na
啊乃	a nai
啊奶	a nai
啊囊死给	a nang si gei
啊呢啊呢	a ne a ne
啊能	a neng
啊能把	a neng ba
啊能不要	a neng bu yao
啊能吃	a neng chi
啊能穿	a neng chuan
啊能用	a neng yong
啊你被	a ni bei
啊你藏在心	a ni cang zai xin
啊你等着	a ni deng zhe
啊你对	a ni dui
啊你还	a ni hai
啊你好	a ni hao
啊你就	a ni jiu
啊你来	a ni lai
啊你妹的	a ni mei de
啊泥	a ni
啊娘	a niang
啊涅	a nie
啊牛逼	a niu bi
啊农大	a nong da
啊弄	a nong
啊弄错	a nong cuo
啊奴	a nu
啊儺喊	a nuo han
啊哦哟	a o yo
啊胖胖	a pang pang
啊陪我	a pei wo
啊陪我去	a pei wo qu
啊彭	a peng
啊朋友还钱	a peng you huan qian
啊朋友再见	a peng you zai jian
啊漂亮	a piao liang
啊婆	a po
啊婆娘	a po niang
啊噗露派	a pu lu pai
啊朴啡	a pu fei
啊起来啦	a qi lai la
啊起来了	a qi lai le
啊前	a qian
啊千	a qian
啊请我	a qing wo
啊琼	a qiong
啊去	a qu
啊去看	a qu kan
啊确定	a que ding
啊雀	a que
啊热	a re
啊仁	a ren
啊认得	a ren de
啊认识	a ren shi
啊认识的	a ren shi de
啊日	a ri
啊日花村	a ri hua cun
啊荣	a rong
啊撒色粉	a sa se fen
啊沙	a sha
啊珊	a shan
啊上班	a shang ban
啊上课	a shang ke
啊什么是	a shen me shi
啊胜	a sheng
啊事实上	a shi shi shang
啊师傅师傅德国的法国德国	a shi fu shi fu de guo de fa guo de guo
啊时候	a shi hou
啊是啊	a shi a
啊是哒	a shi da
啊是的	a shi de
啊是的啊	a shi de a
啊是的咯	a shi de ge
啊是的啦	a shi de la
啊是的呢	a shi de ne
啊是的呀	a shi de ya
啊是滴	a shi di
啊是个	a shi ge
啊是机顶盒	a shi ji ding he
啊是加	a shi jia
啊是啦	a shi la
啊是了	a shi le
啊是咯	a shi lo
啊是你	a shi ni
啊是撒	a shi sa
啊是哇	a shi wa
啊是要	a shi yao
啊是在	a shi zai
啊是这个	a shi zhe ge
啊是真的	a shi zhen de
啊收到	a shou dao
啊数据库的话	a shu ju ku de hua
啊舒服	a shu fu
啊输没豆了	a shu mei dou le
啊帅	a shuai
啊甩	a shuai
啊爽	a shuang
啊睡	a shui
啊睡觉	a shui jiao
啊睡啦	a shui la
啊睡了	a shui le
啊谁	a shui
啊说	a shuo
啊说话	a shuo hua
啊四	a si
啊四鬼	a si gui
啊斯	a si
啊死的	a si de
啊搜啦	a sou la
啊所啦	a suo la
啊索	a suo
啊他想	a ta xiang
啊糖腺苷	a tang xian gan
啊听过	a ting guo
啊听见	a ting jian
啊痛	a tong
啊头	a tou
啊哇日	a wa ri
啊哇哇哇文	a wa wa wa wen
啊娃	a wa
啊外楼	a wai lou
啊完了	a wan le
啊玩到你崩溃	a wan dao ni beng kui
啊玩我呢	a wan wo ne
啊忘了问	a wang le wen
啊忘情水	a wang qing shui
啊为所当为	a wei suo dang wei
啊未	a wei
啊喔哦	a wo o
啊我大味道	a wo da wei dao
啊我的娃	a wo de wa
啊我都睡觉啊	a wo dou shui jiao a
啊我上单	a wo shang dan
啊呜	a wu
啊呜啊呜	a wu a wu
啊呜乱	a wu luan
啊呜卵	a wu luan
啊呜软	a wu ruan
啊呜瑞	a wu rui
啊呜呦	a wu you
啊无聊	a wu liao
啊无乱	a wu luan
啊喜欢	a xi huan
啊西多	a xi duo
啊下班	a xia ban
啊下班啦	a xia ban la
啊下班了	a xia ban le
啊下来	a xia lai
啊下体撕裂般的痛将她吞噬	a xia ti si lie ban de tong jiang ta tun shi
啊吓人	a xia ren
啊瞎	a xia
啊羡慕	a xian mu
啊想去	a xiang qu
啊想我	a xiang wo
啊小	a xiao
啊晓得	a xiao de
啊些	a xie
啊行啊	a xing a
啊行的	a xing de
啊休息	a xiu xi
啊需要	a xu yao
啊雪村	a xue cun
啊呀	a ya
啊呀嗨	a ya hai
啊呀拉	a ya la
啊呀类	a ya lei
啊呀咧	a ya lie
啊呀嘛	a ya ma
啊呀乃	a ya nai
啊呀斯密	a ya si mi
啊呀呀	a ya ya
啊呀也	a ya ye
啊哑夺着死猫	a ya duo zhe si mao
啊严重	a yan zhong
啊样子	a yang zi
啊吆佛	a yao fo
啊要	a yao
啊要帮你	a yao bang ni
啊要吃	a yao chi
啊要出来	a yao chu lai
啊要出去	a yao chu qu
啊要带	a yao dai
啊要到了	a yao dao le
啊要多久	a yao duo jiu
啊要给你	a yao gei ni
啊要过来	a yao guo lai
啊要回家	a yao hui jia
啊要回来	a yao hui lai
啊要叫	a yao jiao
啊要紧	a yao jin
啊要紧的	a yao jin de
啊要看	a yao kan
啊要啦	a yao la
啊要来	a yao lai
啊要来了	a yao lai le
啊要买	a yao mai
啊要去	a yao qu
啊要睡觉	a yao shui jiao
啊要睡觉了	a yao shui jiao le
啊要我	a yao wo
啊要我来	a yao wo lai
啊要一起	a yao yi qi
啊要这么	a yao zhe me
啊要这样的	a yao zhe yang de
啊要做	a yao zuo
啊也	a ye
啊吔	a ye
啊一起	a yi qi
啊一起去	a yi qi qu
啊一天	a yi tian
啊一西	a yi xi
啊一样	a yi yang
啊乙	a yi
啊依莲	a yi lian
啊咿呀	a yi ya
啊应	a ying
啊应怪	a ying guai
啊英	a ying
啊哟喂	a yo wei
啊勇排档	a yong pai dang
啊涌	a yong
啊又吃	a you chi
啊又看	a you kan
啊又说	a you shuo
啊又问	a you wen
啊有	a you
啊有班	a you ban
啊有帮我	a you bang wo
啊有必要	a you bi yao
啊有别的	a you bie de
啊有病	a you bing
啊有车	a you che
啊有吃	a you chi
啊有吃饭	a you chi fan
啊有吃饭了	a you chi fan le
啊有吃了	a you chi le
啊有带	a you dai
啊有到	a you dao
啊有到家	a you dao jia
啊有到家了	a you dao jia le
啊有到了	a you dao le
啊有道理	a you dao li
啊有的	a you de
啊有点	a you dian
啊有对象	a you dui xiang
啊有多少	a you duo shao
啊有个	a you ge
啊有工作	a you gong zuo
啊有关系	a you guan xi
啊有过	a you guo
啊有好	a you hao
啊有好点	a you hao dian
啊有好看的	a you hao kan de
啊有回家	a you hui jia
啊有活动	a you huo dong
啊有劲	a you jin
啊有开	a you kai
啊有看	a you kan
啊有看到	a you kan dao
啊有看过	a you kan guo
啊有看见	a you kan jian
啊有课	a you ke
啊有空	a you kong
啊有空啊	a you kong a
啊有啦	a you la
啊有来	a you lai
啊有了	a you le
啊有卖	a you mai
啊有起床	a you qi chuang
啊有钱	a you qian
啊有去	a you qu
啊有人	a you ren
啊有人来	a you ren lai
啊有人了	a you ren le
啊有人去	a you ren qu
啊有人要	a you ren yao
啊有人在	a you ren zai
啊有啥	a you sha
啊有什么	a you shen me
啊有什么事	a you shen me shi
啊有事	a you shi
啊有事情	a you shi qing
啊有时间	a you shi jian
啊有收到	a you shou dao
啊有睡	a you shui
啊有睡了	a you shui le
啊有谁	a you shui
啊有说什么	a you shuo shen me
啊有听到	a you ting dao
啊有图	a you tu
啊有问题	a you wen ti
啊有我的	a you wo de
啊有下班	a you xia ban
啊有兴趣	a you xing qu
