空心翼骨	kong xin yi gu
空心阴极灯	kong xin yin ji deng
空心阴极放电	kong xin yin ji fang dian
空心阴极放电光谱分析	kong xin yin ji fang dian guang pu fen xi
空心油道	kong xin you dao
空心鱼丸汤	kong xin yu wan tang
空心圆盘干燥器	kong xin yuan pan gan zao qi
空心轧辊	kong xin zha gun
空心针	kong xin zhen
空心制品	kong xin zhi pin
空心支柱	kong xin zhi zhu
空心轴	kong xin zhou
空心轴车床	kong xin zhou che chuang
空心轴颈	kong xin zhou jing
空心轴套	kong xin zhou tao
空心柱	kong xin zhu
空心竹	kong xin zhu
空心铸件	kong xin zhu jian
空心铸造	kong xin zhu zao
空心铸造合金	kong xin zhu zao he jin
空心砖	kong xin zhuan
空心砖厂	kong xin zhuan chang
空心砖隔墙	kong xin zhuan ge qiang
空心砖横向加劲肋	kong xin zhuan heng xiang jia jin lei
空心砖机	kong xin zhuan ji
空心砖墙	kong xin zhuan qiang
空心砖社区	kong xin zhuan she qu
空心砖养护锅炉	kong xin zhuan yang hu guo lu
空心转子电动机	kong xin zhuan zi dian dong ji
空心桩	kong xin zhuang
空心装药	kong xin zhuang yao
空心椎弓根钉钛合金	kong xin zhui gong gen ding tai he jin
空心椎弓根螺钉	kong xin zhui gong gen luo ding
空心锥体	kong xin zhui ti
空心字	kong xin zi
空心钻	kong xin zuan
空心钻杆	kong xin zuan gan
空心钻头	kong xin zuan tou
空芯	kong xin
空芯变压器	kong xin bian ya qi
空性	kong xing
空性碧云无处所	kong xing bi yun wu chu suo
空性独自不成立	kong xing du zi bu cheng li
空性即是显现理	kong xing ji shi xian xian li
空性离戏灭尽定	kong xing li xi mie jin ding
空性奈诗何	kong xing nai shi he
空性胜义观察境	kong xing sheng yi guan cha jing
空性无羁鞅	kong xing wu ji yang
空性显现凡夫前	kong xing xian xian fan fu qian
空性显现缘起性	kong xing xian xian yuan qi xing
空性亦唯心假立	kong xing yi wei xin jia li
空性则为无	kong xing ze wei wu
空性之后	kong xing zhi hou
空星藻	kong xing zao
空行母	kong xing mu
空胸	kong xiong
空羞避俗无高节	kong xiu bi su wu gao jie
空羞献纳在丹墀	kong xiu xian na zai dan chi
空叙流杯醉暮春	kong xu liu bei zui mu chun
空墟之海	kong xu zhi hai
空虚	kong xu
空虚惭炙輠	kong xu can zhi guo
