你撒时	ni sa shi
你撒时光	ni sa shi guang
你撒时候	ni sa shi hou
你撒时候回家	ni sa shi hou hui jia
你撒时候回来	ni sa shi hou hui lai
你撒时候回来呢	ni sa shi hou hui lai ne
你撒时候来	ni sa shi hou lai
你撒时候去	ni sa shi hou qu
你撒时候睡	ni sa shi hou shui
你撒时候走	ni sa shi hou zou
你撒时间	ni sa shi jian
你撒态度	ni sa tai du
你撒意思	ni sa yi si
你撒子	ni sa zi
你塞吧	ni sai ba
你塞时候	ni sai shi hou
你三爸	ni san ba
你三个姊妹倒都极好	ni san ge zi mei dao dou ji hao
你三河	ni san he
你三件	ni san jian
你三口子	ni san kou zi
你三妹妹那里就好	ni san mei mei na li jiu hao
你三门峡	ni san men xia
你三炮	ni san pao
你三人就在这里罢	ni san ren jiu zai zhe li ba
你三十几了	ni san shi ji le
你三鲜	ni san xian
你三亚	ni san ya
你三爷	ni san ye
你伞	ni san
你嗓子都哑了	ni sang zi dou ya le
你桑	ni sang
你嫂子	ni sao zi
你嫂子可行	ni sao zi ke xing
你扫干净	ni sao gan jing
你骚	ni sao
你骚啊	ni sao a
你骚情	ni sao qing
你涩	ni se
你色姐	ni se jie
你森	ni sen
你傻爱吧	ni sha ai ba
你傻逼吧	ni sha bi ba
你傻逼不	ni sha bi bu
你傻逼吗	ni sha bi ma
你傻的聊吗	ni sha de liao ma
你傻屌	ni sha diao
你傻脸	ni sha lian
你傻吗	ni sha ma
你傻么	ni sha me
你傻笑啥呢	ni sha xiao sha ne
你傻着呢	ni sha zhe ne
你傻猪	ni sha zhu
你啥班呀	ni sha ban ya
你啥的	ni sha de
你啥感觉啊媳妇	ni sha gan jue a xi fu
你啥会	ni sha hui
你啥前	ni sha qian
你啥时放假	ni sha shi fang jia
你啥时光	ni sha shi guang
你啥时候阿里	ni sha shi hou a li
你啥时候承认	ni sha shi hou cheng ren
你啥时候出现啊	ni sha shi hou chu xian a
你啥时候放	ni sha shi hou fang
你啥时候更	ni sha shi hou geng
你啥时候还回	ni sha shi hou huan hui
你啥时候回来呢	ni sha shi hou hui lai ne
你啥时候回呢	ni sha shi hou hui ne
你啥时候来家	ni sha shi hou lai jia
你啥时候来了	ni sha shi hou lai le
你啥时候来么	ni sha shi hou lai me
你啥时候来呢	ni sha shi hou lai ne
你啥时候来西安	ni sha shi hou lai xi an
你啥时候来郑州	ni sha shi hou lai zheng zhou
你啥时候忙完呀	ni sha shi hou mang wan ya
你啥时候去了	ni sha shi hou qu le
你啥时候去呢	ni sha shi hou qu ne
你啥时候去学	ni sha shi hou qu xue
你啥时候休假	ni sha shi hou xiu jia
你啥时候要回来	ni sha shi hou yao hui lai
你啥时候要呢	ni sha shi hou yao ne
你啥时候走呢	ni sha shi hou zou ne
你啥时回	ni sha shi hui
你啥时间	ni sha shi jian
你啥时间报的	ni sha shi jian bao de
你啥时间回来	ni sha shi jian hui lai
你啥时间来	ni sha shi jian lai
你啥时间有空	ni sha shi jian you kong
你啥时来辽阳	ni sha shi lai liao yang
你啥时来西安	ni sha shi lai xi an
你啥时去学校	ni sha shi qu xue xiao
你啥时休假	ni sha shi xiu jia
你啥手机	ni sha shou ji
你啥也知道	ni sha ye zhi dao
你啥也知道呀	ni sha ye zhi dao ya
你啥意思吧	ni sha yi si ba
