始时当微	shi shi dang wei
始时所是	shi shi suo shi
始是分明个剃头	shi shi fen ming ge ti tou
始是乾坤王室正	shi shi qian kun wang shi zheng
始是人间出世人	shi shi ren jian chu shi ren
始是入诗狂	shi shi ru shi kuang
始是逍遥人	shi shi xiao yao ren
始是新承恩泽时	shi shi xin cheng en ze shi
始是忆君肠断时	shi shi yi jun chang duan shi
始是著绯年	shi shi zhu fei nian
始石燕	shi shi yan
始识荆公於钟山	shi shi jing gong yu zhong shan
始识疏狂之足贵	shi shi shu kuang zhi zu gui
始识王荆州	shi shi wang jing zhou
始识仙凡别	shi shi xian fan bie
始识虚舟师	shi shi xu zhou shi
始识长者车	shi shi zhang zhe che
始识之	shi shi zhi
始识之既罢居于庐	shi shi zhi ji ba ju yu lu
始试	shi shi
始适还家门	shi shi hai jia men
始适还家门	shi shi huan jia men
始授郎将	shi shou lang jiang
始述家风	shi shu jia feng
始司三更雨如许	shi si san geng yu ru xu
始穗期	shi sui qi
始虽恶寒	shi sui e han
始遂情逍遥	shi sui qing xiao yao
始随残魄灭	shi sui can po mie
始泰则终蹇	shi tai ze zhong jian
始叹春来自不知	shi tan chun lai zi bu zhi
始叹门易轨	shi tan men yi gui
始叹身无子	shi tan shen wu zi
始叹云泥隔	shi tan yun ni ge
始探蓬壶事	shi tan peng hu shi
始螳	shi tang
始螳属	shi tang shu
始滔天于燕齐	shi tao tian yu yan qi
始条理也	shi tiao li ye
始条理者	shi tiao li zhe
始眺澧阳市	shi tiao li yang shi
始听乐及许燃灯	shi ting le ji xu ran deng
始同泰讲	shi tong tai jiang
始通	shi tong
始通村	shi tong cun
始投清凉宇	shi tou qing liang yu
始蚖科	shi wan ke
始往今来复	shi wang jin lai fu
始望和烟密	shi wang he yan mi
始望那及此	shi wang na ji ci
始王	shi wang
始为北声	shi wei bei sheng
始为管儿歌此歌	shi wei guan er ge ci ge
始为江山静	shi wei jiang shan jing
始为乱妖精作孽	shi wei luan yao jing zuo nie
始为南音	shi wei nan yin
始为吾性情	shi wei wu xing qing
始为左间也	shi wei zuo jian ye
始慰蝉鸣柳	shi wei chan ming liu
始谓杞梁死	shi wei qi liang si
始谓调金鼎	shi wei tiao jin ding
始谓吾道存	shi wei wu dao cun
始谓殷寥廓	shi wei yin liao kuo
始闻蕃汉殊	shi wen bo han shu
始闻蝉初鸣	shi wen chan chu ming
始闻传上命	shi wen chuan shang ming
始闻蕃汉殊	shi wen fan han shu
始闻高阁声	shi wen gao ge sheng
始闻钴鉧潭	shi wen gu mu tan
始闻何处悲	shi wen he chu bei
始闻叩柴荆	shi wen kou chai jing
始闻炼气餐金液	shi wen lian qi can jin ye
始闻其声	shi wen qi sheng
始闻清夜柝	shi wen qing ye tuo
始闻秋风	shi wen qiu feng
始闻漳浦卧	shi wen zhang pu wo
始我来宛丘	shi wo lai wan qiu
始吾弗信	shi wu fu xin
始吾购二山	shi wu gou er shan
始吾居扬日	shi wu ju yang ri
始吾以夫子之道为至矣	shi wu yi fu zi zhi dao wei zhi yi
始吾以圣知之言	shi wu yi sheng zhi zhi yan
始吾以圣知之言仁义之行为至矣	shi wu yi sheng zhi zhi yan ren yi zhi xing wei zhi yi
始吾以为天下一人耳	shi wu yi wei tian xia yi ren er
始吾于人也	shi wu yu ren ye
始吾於人也	shi wu yu ren ye
始悟尘居者	shi wu chen ju zhe
始悟摧林秀	shi wu cui lin xiu
始悟达人志	shi wu da ren zhi
始悟独往人	shi wu du wang ren
始悟非真情	shi wu fei zhen qing
始悟寡所谙	shi wu gua suo an
始悟海上人	shi wu hai shang ren
始悟人间万法空	shi wu ren jian wan fa kong
始悟三更雨如许	shi wu san geng yu ru xu
始悟三更雨如许平生所向无一遂	shi wu san geng yu ru xu ping sheng suo xiang wu yi sui
始悟山野姿	shi wu shan ye zi
始悟身是客	shi wu shen shi ke
始悟身为患	shi wu shen wei huan
始悟身向老	shi wu shen xiang lao
始悟世上劳	shi wu shi shang lao
始悟他人意	shi wu ta ren yi
始悟万缘虚	shi wu wan yuan xu
始悟为山市	shi wu wei shan shi
始悟行日远	shi wu xing ri yuan
始悟喧静缘	shi wu xuan jing yuan
始悟炎凉变	shi wu yan liang bian
始悟有营者	shi wu you ying zhe
始悟肘后方	shi wu zhou hou fang
始喜额珠完	shi xi e zhu wan
始喜原野阔	shi xi yuan ye kuo
始悉玄门真妙谛	shi xi xuan men zhen miao di
始惜两三枝	shi xi liang san zhi
始下芙蓉楼	shi xia fu rong lou
始夏	shi xia
始先界	shi xian jie
始嫌梧桐树	shi xian wu tong shu
始现	shi xian
始向蓬莱看舞鹤	shi xiang peng lai kan wu he
始效神羊触	shi xiao shen yang chu
始笑子卿心计失	shi xiao zi qing xin ji shi
始写呢	shi xie ne
始邪末正	shi xie mo zheng
始信	shi xin
始信北苑	shi xin bei yuan
始信春恩不私物	shi xin chun en bu si wu
始信此诗嘉	shi xin ci shi jia
始信丹经非妄言	shi xin dan jing fei wang yan
始信淡交宜久远	shi xin dan jiao yi jiu yuan
始信峰	shi xin feng
始信古人言	shi xin gu ren yan
始信孤云天一握	shi xin gu yun tian yi wo
始信湖中五月凉	shi xin hu zhong wu yue liang
始信滹沱冰合事	shi xin hu tuo bing he shi
始信黄土垄中	shi xin huang tu long zhong
始信路	shi xin lu
始信路公交站	shi xin lu gong jiao zhan
始信梦时非幻妄	shi xin meng shi fei huan wang
始信人间别离苦	shi xin ren jian bie li ku
始信桑田变成海	shi xin sang tian bian cheng hai
始信山川出才士	shi xin shan chuan chu cai shi
始信上帝委托权衡	shi xin shang di wei tuo quan heng
始信神仙还有国	shi xin shen xian hai you guo
始信书堂有玉堂	shi xin shu tang you yu tang
始信双语幼儿园	shi xin shuang yu you er yuan
始信逃尧不为名	shi xin tao yao bu wei ming
始信宣城守	shi xin xuan cheng shou
始信郢中人	shi xin ying zhong ren
始信幽人不爱荣	shi xin you ren bu ai rong
始新世	shi xin shi
始新统	shi xin tong
始兴	shi xing
始兴北路口	shi xing bei lu kou
始兴冬菇	shi xing dong gu
始兴洞	shi xing dong
始兴环柄菇	shi xing huan bing gu
始兴路	shi xing lu
始兴路口	shi xing lu kou
始兴南路尾	shi xing nan lu wei
始兴市	shi xing shi
始兴石斛	shi xing shi hu
始兴溪子下江淮	shi xing xi zi xia jiang huai
始兴县	shi xing xian
始兴县德德大酒店	shi xing xian de de da jiu dian
始兴县公安局	shi xing xian gong an ju
始兴县广播电视大学	shi xing xian guang bo dian shi da xue
始兴县疾病预防控制中心	shi xing xian ji bing yu fang kong zhi zhong xin
始兴县建设局	shi xing xian jian she ju
始兴县教师进修学校	shi xing xian jiao shi jin xiu xue xiao
始兴县林业和草原局	shi xing xian lin ye he cao yuan ju
始兴县罗坝镇华宇工艺厂	shi xing xian luo ba zhen hua yu gong yi chang
始兴县罗坝镇怡兴工艺厂	shi xing xian luo ba zhen yi xing gong yi chang
始兴县马市镇五金工艺厂	shi xing xian ma shi zhen wu jin gong yi chang
始兴县人力资源和社会保障局	shi xing xian ren li zi yuan he she hui bao zhang ju
始兴县人民医院	shi xing xian ren min yi yuan
始兴县人事局	shi xing xian ren shi ju
始兴县水利局	shi xing xian shui li ju
始兴县卫生防疫站	shi xing xian wei sheng fang yi zhan
始兴县卫生局	shi xing xian wei sheng ju
始兴县行政学校	shi xing xian xing zheng xue xiao
始兴县粤深工艺厂	shi xing xian yue shen gong yi chang
始兴县政府	shi xing xian zheng fu
始兴县志兴工艺厂	shi xing xian zhi xing gong yi chang
始兴县中医院	shi xing xian zhong yi yuan
