这是广州	zhe shi guang zhou
这是哈尔滨	zhe shi ha er bin
这是还问男的	zhe shi hai wen nan de
这是好的	zhe shi hao de
这是好的并且没有任何坏处	zhe shi hao de bing qie mei you ren he huai chu
这是何等的石头	zhe shi he deng de shi tou
这是何苦来	zhe shi he ku lai
这是鸿雁来宾	zhe shi hong yan lai bin
这是后人纂的	zhe shi hou ren zuan de
这是会众的赎罪祭	zhe shi hui zhong de shu zui ji
这是获得极大反响的胜利	zhe shi huo de ji da fan xiang de sheng li
这是急火攻心	zhe shi ji huo gong xin
这是机身	zhe shi ji shen
这是极大的奥秘	zhe shi ji da de ao mi
这是极干净的	zhe shi ji gan jing de
这是极好的好事	zhe shi ji hao de hao shi
这是济南	zhe shi ji nan
这是祭司煮赎愆祭	zhe shi ji si zhu shu qian ji
这是计划的一部分	zhe shi ji hua de yi bu fen
这是加单	zhe shi jia dan
这是家里的旧例	zhe shi jia li de jiu li
这是简单的	zhe shi jian dan de
这是叫你带着我们作针线	zhe shi jiao ni dai zhe wo men zuo zhen xian
这是解脱丝绸	zhe shi jie tuo si chou
这是诫命中的第一	zhe shi jie ming zhong de di yi
这是境界	zhe shi jing jie
这是旧年备膳	zhe shi jiu nian bei shan
这是卡耐基的过人之处	zhe shi ka nai ji de guo ren zhi chu
这是卡耐基的黄金守则	zhe shi ka nai ji de huang jin shou ze
这是卡耐基恪守的一个信条	zhe shi ka nai ji ke shou de yi ge xin tiao
这是开卦了	zhe shi kai gua le
这是开透示了	zhe shi kai tou shi le
这是可爱	zhe shi ke ai
这是可拉的各家	zhe shi ke la de ge jia
这是客观	zhe shi ke guan
这是客人群	zhe shi ke ren qun
这是科学的呢	zhe shi ke xue de ne
这是孔雀金线织的	zhe shi kong que jin xian zhi de
这是恐怕姑娘们受委屈	zhe shi kong pa gu niang men shou wei qu
这是会计	zhe shi kuai ji
这是快到了	zhe shi kuai dao le
这是拉但族的族长	zhe shi la dan zu de zu zhang
这是来哪	zhe shi lai na
这是老歌	zhe shi lao ge
这是老胡	zhe shi lao hu
这是老君眉	zhe shi lao jun mei
这是老皮	zhe shi lao pi
这是老太太的几件衣裳	zhe shi lao tai tai de ji jian yi shang
这是老太太过谦了	zhe shi lao tai tai guo qian le
这是老太太泡茶的	zhe shi lao tai tai pao cha de
这是利未人的家长	zhe shi li wei ren de jia zhang
这是力量不加	zhe shi li liang bu jia
这是李璐	zhe shi li lu
这是李员外送的	zhe shi li yuan wai song de
这是理论	zhe shi li lun
这是理所当然的	zhe shi li suo dang ran de
这是俩个人	zhe shi lia ge ren
这是琏嫂子	zhe shi lian sao zi
这是两个号	zhe shi liang ge hao
这是两个荷包	zhe shi liang ge he bao
