自动提额	zi dong ti e
自动提花双面	zi dong ti hua shuang mian
自动提亮优化	zi dong ti liang you hua
自动提取	zi dong ti qu
自动提升器	zi dong ti sheng qi
自动调弧氩弧焊	zi dong tiao hu ya hu han
自动调节	zi dong tiao jie
自动调节电弧焊	zi dong tiao jie dian hu han
自动调节电话机	zi dong tiao jie dian hua ji
自动调节阀	zi dong tiao jie fa
自动调节光圈值	zi dong tiao jie guang quan zhi
自动调节焊枪	zi dong tiao jie han qiang
自动调节机能	zi dong tiao jie ji neng
自动调节机制	zi dong tiao jie ji zhi
自动调节器	zi dong tiao jie qi
自动调节式	zi dong tiao jie shi
自动调节特性	zi dong tiao jie te xing
自动调节与保护装置	zi dong tiao jie yu bao hu zhuang zhi
自动调节与监测保护装置	zi dong tiao jie yu jian ce bao hu zhuang zhi
自动调节原理及水轮机调节	zi dong tiao jie yuan li ji shui lun ji tiao jie
自动调节装置	zi dong tiao jie zhuang zhi
自动调频	zi dong tiao pin
自动调速器	zi dong tiao su qi
自动调温器	zi dong tiao wen qi
自动调相线路	zi dong tiao xiang xian lu
自动调效屏幕尺寸和中心位置	zi dong tiao xiao ping mu chi cun he zhong xin wei zhi
自动调心离合器分离轴承单元	zi dong tiao xin li he qi fen li zhou cheng dan yuan
自动调压	zi dong tiao ya
自动调压阀	zi dong tiao ya fa
自动调整	zi dong tiao zheng
自动调整励磁装置	zi dong tiao zheng li ci zhuang zhi
自动调整亮度	zi dong tiao zheng liang du
自动调整条款	zi dong tiao zheng tiao kuan
自动调整托辊	zi dong tiao zheng tuo gun
自动调整系统	zi dong tiao zheng xi tong
自动调整压头	zi dong tiao zheng ya tou
自动调整轴	zi dong tiao zheng zhou
自动调制控制	zi dong tiao zhi kong zhi
自动跳过	zi dong tiao guo
自动跳舞鞋	zi dong tiao wu xie
自动跳舞信号发射器	zi dong tiao wu xin hao fa she qi
自动跳跃	zi dong tiao yue
自动停车	zi dong ting che
自动停车滑阀	zi dong ting che hua fa
自动停车装置	zi dong ting che zhuang zhi
自动停机	zi dong ting ji
自动停损	zi dong ting sun
自动停用	zi dong ting yong
自动停止	zi dong ting zhi
自动停止阀	zi dong ting zhi fa
自动同步	zi dong tong bu
自动同步告警	zi dong tong bu gao jing
自动同步机	zi dong tong bu ji
自动同步器	zi dong tong bu qi
自动通过按钮电路	zi dong tong guo an niu dian lu
自动通知	zi dong tong zhi
自动铜耗拆解机	zi dong tong hao chai jie ji
自动头	zi dong tou
自动投案	zi dong tou an
自动投币咖啡机	zi dong tou bi ka fei ji
自动投币式咖啡机	zi dong tou bi shi ka fei ji
自动投入	zi dong tou ru
自动投入运行	zi dong tou ru yun xing
自动推进	zi dong tui jin
自动推进运输	zi dong tui jin yun shu
自动推进装置	zi dong tui jin zhuang zhi
自动推理	zi dong tui li
自动推料	zi dong tui liao
自动托卡马克装置	zi dong tuo ka ma ke zhuang zhi
自动脱扣	zi dong tuo kou
自动脱扣机	zi dong tuo kou ji
自动脱落焊渣	zi dong tuo luo han zha
自动脱落连接器	zi dong tuo luo lian jie qi
自动脱落熔渣	zi dong tuo luo rong zha
自动脱水机	zi dong tuo shui ji
自动脱氧作用	zi dong tuo yang zuo yong
自动外部测光	zi dong wai bu ce guang
自动往返控制	zi dong wang fan kong zhi
自动网格生成	zi dong wang ge sheng cheng
自动网络操作	zi dong wang luo cao zuo
自动喂料	zi dong wei liao
自动喂食器	zi dong wei shi qi
自动维护机器	zi dong wei hu ji qi
自动文件分类	zi dong wen jian fen lei
自动文摘	zi dong wen zhai
自动稳定装置	zi dong wen ding zhuang zhi
自动问卷	zi dong wen juan
自动无扰切换	zi dong wu rao qie huan
自动无畏战舰	zi dong wu wei zhan jian
自动武器	zi dong wu qi
自动武器陈列室	zi dong wu qi chen lie shi
自动武器镀膜器	zi dong wu qi du mo qi
自动误差校正	zi dong wu cha jiao zheng
自动吸尘器	zi dong xi chen qi
自动析出气体	zi dong xi chu qi ti
自动洗车	zi dong xi che
自动洗车机	zi dong xi che ji
自动洗碗机	zi dong xi wan ji
自动系泊绞车	zi dong xi bo jiao che
自动系统	zi dong xi tong
自动下线坑	zi dong xia xian keng
自动下芯机	zi dong xia xin ji
自动显示时间日期	zi dong xian shi shi jian ri qi
自动显示信息	zi dong xian shi xin xi
自动显示仪表	zi dong xian shi yi biao
自动显微镜	zi dong xian wei jing
自动现象	zi dong xian xiang
自动线	zi dong xian
自动线材扫描器	zi dong xian cai sao miao qi
自动线盘成圈机	zi dong xian pan cheng quan ji
自动限时解锁	zi dong xian shi jie suo
自动响应装置	zi dong xiang ying zhuang zhi
自动相关器	zi dong xiang guan qi
自动相机	zi dong xiang ji
自动相位获取	zi dong xiang wei huo qu
自动详图制作	zi dong xiang tu zhi zuo
自动香肠店	zi dong xiang chang dian
自动小车	zi dong xiao che
自动消防泵	zi dong xiao fang beng
自动消防炮灭火系统	zi dong xiao fang pao mie huo xi tong
自动消防设备	zi dong xiao fang she bei
自动消防设备控制装置	zi dong xiao fang she bei kong zhi zhuang zhi
自动消防系统	zi dong xiao fang xi tong
自动消息	zi dong xiao xi
自动协商	zi dong xie shang
自动卸盖机	zi dong xie gai ji
自动卸货车	zi dong xie huo che
自动卸货船	zi dong xie huo chuan
自动卸货卡车	zi dong xie huo ka che
自动卸料	zi dong xie liao
自动卸料车	zi dong xie liao che
自动卸料离心机	zi dong xie liao li xin ji
自动卸载车	zi dong xie zai che
自动卸载阀	zi dong xie zai fa
自动卸载机	zi dong xie zai ji
自动斜率控制	zi dong xie lv kong zhi
自动信号	zi dong xin hao
自动信托	zi dong xin tuo
自动心脏复律器置入术	zi dong xin zang fu lv qi zhi ru shu
自动性	zi dong xing
自动性癫痫	zi dong xing dian xian
自动性能	zi dong xing neng
自动修补	zi dong xiu bu
自动修复	zi dong xiu fu
自动续期	zi dong xu qi
自动旋床	zi dong xuan chuang
自动旋光仪	zi dong xuan guang yi
自动旋压机	zi dong xuan ya ji
自动旋转门	zi dong xuan zhuan men
自动漩涡打击装置	zi dong xuan wo da ji zhuang zhi
自动炫纹	zi dong xuan wen
自动选废	zi dong xuan fei
自动选分	zi dong xuan fen
自动选择	zi dong xuan ze
自动选择默认法术	zi dong xuan ze mo ren fa shu
自动选择延迟时间	zi dong xuan ze yan chi shi jian
自动寻地地雷	zi dong xun di di lei
自动寻路	zi dong xun lu
自动循环压制	zi dong xun huan ya zhi
自动训练	zi dong xun lian
自动压合热焊	zi dong ya he re han
自动压机	zi dong ya ji
自动压片机	zi dong ya pian ji
自动压型	zi dong ya xing
自动氩弧焊	zi dong ya hu han
自动牙签瓶打火机款	zi dong ya qian ping da huo ji kuan
自动牙签瓶房子款	zi dong ya qian ping fang zi kuan
自动轧管法	zi dong ya guan fa
自动延绳钓机	zi dong yan sheng diao ji
自动掩护	zi dong yan hu
自动演绎	zi dong yan yi
自动烟盒	zi dong yan he
自动眼线笔	zi dong yan xian bi
自动衍射仪	zi dong yan she yi
自动颜色	zi dong yan se
自动颜色	zi dong yan shai
自动验证工具	zi dong yan zheng gong ju
自动验证系统	zi dong yan zheng xi tong
自动扬弹机	zi dong yang dan ji
自动氧化	zi dong yang hua
自动氧化剂	zi dong yang hua ji
自动氧弹热量计	zi dong yang tan re liang ji
自动摇动器	zi dong yao dong qi
自动遥控	zi dong yao kong
自动遥控开关	zi dong yao kong kai guan
自动液压大型捣固车	zi dong ye ya da xing dao gu che
自动仪表	zi dong yi biao
自动医护	zi dong yi hu
自动医疗舱	zi dong yi liao cang
自动抑爆系统	zi dong yi bao xi tong
自动移动	zi dong yi dong
自动移管仪	zi dong yi guan yi
自动引导装置	zi dong yin dao zhuang zhi
自动引燃	zi dong yin ran
自动银耗拆解机	zi dong yin hao chai jie ji
自动音量控制	zi dong yin liang kong zhi
自动饮水机	zi dong yin shui ji
自动应答	zi dong ying da
自动应答设备	zi dong ying da she bei
自动影象定量分析仪	zi dong ying xiang ding liang fen xi yi
自动硬度计	zi dong ying du ji
自动拥塞控制	zi dong yong se kong zhi
自动拥塞控制信息消息	zi dong yong se kong zhi xin xi xiao xi
自动永停滴定仪	zi dong yong ting di ding yi
自动用户交换机	zi dong yong hu jiao huan ji
自动油门	zi dong you men
自动油门系统	zi dong you men xi tong
自动邮寄	zi dong you ji
自动语音识别	zi dong yu yin shi bie
自动语音应答	zi dong yu yin ying da
自动遇敌	zi dong yu di
自动遇敌功能	zi dong yu di gong neng
自动预调	zi dong yu tiao
自动圆袜机	zi dong yuan wa ji
自动约束	zi dong yue shu
自动运输秤	zi dong yun shu cheng
自动运行	zi dong yun xing
自动运行启动	zi dong yun xing qi dong
自动运行蠕虫	zi dong yun xing ru chong
自动运行停止	zi dong yun xing ting zhi
自动再启动	zi dong zai qi dong
自动再投资	zi dong zai tou zi
自动噪声抑制	zi dong zao sheng yi zhi
自动增减杯	zi dong zeng jian bei
自动增益	zi dong zeng yi
自动增益补偿	zi dong zeng yi bu chang
自动增益控制	zi dong zeng yi kong zhi
自动增益控制放大器	zi dong zeng yi kong zhi fang da qi
自动轧管机	zi dong zha guan ji
自动闸杆	zi dong zha gan
自动债券系统	zi dong zhai quan xi tong
自动摘要	zi dong zhai yao
自动展开	zi dong zhan kai
自动战斗	zi dong zhan dou
自动着火	zi dong zhao huo
自动折叠单位	zi dong zhe die dan wei
自动折叠机	zi dong zhe die ji
自动遮断	zi dong zhe duan
自动侦测	zi dong zhen ce
自动侦测微笑	zi dong zhen ce wei xiao
自动振打装置	zi dong zhen da zhuang zhi
自动振幅控制	zi dong zhen fu kong zhi
自动振铃	zi dong zhen ling
自动振筛机	zi dong zhen shai ji
自动针入度试验器	zi dong zhen ru du shi yan qi
自动震打器	zi dong zhen da qi
自动震打装置	zi dong zhen da zhuang zhi
自动震荡仪	zi dong zhen dang yi
自动整步器	zi dong zheng bu qi
自动症	zi dong zheng
自动之火	zi dong zhi huo
自动值班电话	zi dong zhi ban dian hua
自动制动差速器	zi dong zhi dong cha su qi
自动制动器	zi dong zhi dong qi
自动指令	zi dong zhi ling
自动指令信号	zi dong zhi ling xin hao
