# 中国高校名称
# 来自教育部门，包括部分曾用名
#
# 学校名称	英文名称

七台河职业学院	Qitaihe Vocational College
三亚中瑞酒店管理职业学院	Hospitality Institute of Sanya
三亚城市职业学院	Sanya City College / Sanya City Vocational College
三亚学院	Sanya University / University of Sanya
三亚护理职业学院	Sanya International College of Nursing
三亚理工职业学院	Sanya Institute of Technology / Sanya Institute of Technology
三亚航空旅游职业学院	Sanya Aviation and Tourism College
三峡大学	China Three Gorges University
三峡大学科技学院	College of Science and Technology of China Three Gorges University
三峡旅游职业技术学院	Three Gorges Tourism Polytechnic College
三峡电力职业学院	Three Gorges Vocational College of Electric Power
三明医学科技职业学院	Sanming Medical and Polytechnic Vocational College
三明学院	Sanming University
三明职业技术学院	
三江学院	Sanjiang University
三门峡社会管理职业学院	Sanmenxia College of Social Administration / Sanmenxia Vocational College of Social Management
三门峡职业技术学院	Sanmenxia Polytechnic
上海东海职业技术学院	Shanghai Donghai Vocational and Technical College
上海中侨职业技术大学	Shanghai Zhongqiao Vocational and Technical University
上海中医药大学	Shanghai University of Traditional Chinese Medicine
上海中华职业技术学院	Shanghai Zhonghua College
上海交通大学	Shanghai Jiao Tong University
上海交通职业技术学院	Shanghai Communications Polytechnic
上海体育大学	Shanghai University of Sport
上海体育学院	
上海体育职业学院	
上海健康医学院	Shanghai University of Medicine and Health Sciences
上海健康职业技术学院	
上海公安学院	Shanghai Police College
上海公安高等专科学校	
上海兴伟学院	Shanghai Xingwei College / XingWei College
上海兴韦信息技术职业学院	
上海农林职业技术学院	Shanghai Vocational College of Agriculture and Forestry
上海出版印刷高等专科学校	Shanghai Publishing and Printing College
上海医疗器械高等专科学校	
上海医药职工大学	
上海医药高等专科学校	
上海南湖职业技术学院	Shanghai Nanhu Vocational and Technical College
上海商学院	Shanghai Business School
上海城市管理职业技术学院	
上海城建职业学院	Shanghai Urban Construction Vocational College
上海外国语大学	Shanghai International Studies University
上海外国语大学贤达经济人文学院	Xianda College of Economics & Humanities Shanghai International Studies University
上海大学	Shanghai University
上海对外经贸大学	Shanghai University of International Business and Economics
上海对外贸易学院	
上海工会管理职业学院	Shanghai Vocational College of Trade Union
上海工商外国语职业学院	Shanghai Institute of Commerce & Foreign Languages
上海工商学院	
上海工商职业技术学院	Shanghai Industrial and Commercial Polytechnic
上海工程技术大学	Shanghai University of Engineering Science
上海工艺美术职业学院	Shanghai Art & Design Academy
上海市卢湾区业余大学	
上海市宝山区业余大学	
上海市广播电视大学	
上海市徐汇区业余大学	
上海市普陀区业余大学	
上海市杨浦区业余大学	
上海市经济管理干部学院	
上海市虹口区业余大学	
上海市长宁区业余大学	
上海市静安区业余大学	
上海市黄浦区业余大学	
上海师范大学	Shanghai Normal University
上海师范大学天华学院	Shanghai Normal University TIANHUA College / Shanghai Normal University Tianhua College
上海应用技术大学	Shanghai Institute of Technology
上海应用技术学院	
上海建峰职业技术学院	
上海建桥学院	Shanghai Jianqiao University
上海建设管理职业技术学院	Shanghai Construction Management Vocational College
上海开放大学	
上海思博职业技术学院	Shanghai Si Po Polytechnic / Shanghai Sipo Polytechnic
上海戏剧学院	Shanghai Theatre Academy
上海托普信息技术职业学院	
上海政法学院	Shanghai University of Political Science and Law / Shanghai University of Politic Science and Law
上海新侨职业技术学院	
上海旅游高等专科学校	Shanghai Institute of Tourism
上海机电工业职工大学	
上海杉达学院	Shanghai Sanda University / Sanda University
上海欧华职业技术学院	Shanghai Ouhua College
上海民航职业技术学院	Shanghai Civil Aviation College
上海民远职业技术学院	Shanghai Minyuan Vocational College
上海水产大学	
上海济光职业技术学院	Shanghai Jiguang Polytechnic College
上海浦东职业技术学院	Shanghai Pudong Vocational & Technical College
上海海事大学	Shanghai Maritime University
上海海事职业技术学院	Shanghai Maritime Academy
上海海关学院	Shanghai Customs College
上海海洋大学	Shanghai Ocean University
上海现代化工职业学院	Shanghai Modern Chemical Industry Vocational College
上海理工大学	University of Shanghai for Science and Technology
上海电力大学	Shanghai University of Electric Power
上海电子信息职业技术学院	Shanghai Technical Institute of Electronics Information / Shanghai Technical Institute of Electronics & Information
上海电影艺术职业学院	Shanghai Film Art Academy
上海电机学院	Shanghai Dianji University
上海科创职业技术学院	Shanghai Technology and Innovation Vocational College
上海科学技术职业学院	Shanghai Vocational College of Science and Technology
上海科技大学	ShanghaiTech University
上海科技管理干部学院	
上海立信会计学院	Shanghai Lixin University of Commerce
上海立信会计金融学院	Shanghai Lixin University of Accounting and Finance
上海立达学院	Shanghai Lida University / Shanghai lida University
上海第二工业大学	Shanghai Polytechnic University
上海纺织工业职工大学	
上海纽约大学	New York University Shanghai / NYU Shanghai
上海职工体育运动技术学院	
上海职工医学院	
上海行健职业学院	Shanghai Xingjian College
上海视觉艺术学院	Shanghai Institute of Visual Art / Shanghai Institute of Visual Arts
上海财政税务职工大学	
上海财经大学	Shanghai University of Finance and Economics
上海财经大学浙江学院	Shanghai University of Finance and Economics Zhejiang College
上海邦德职业技术学院	Shanghai Bangde College
上海金融学院	Shanghai Finance University
上海闵行职业技术学院	Shanghai Minhang Polytechnic
上海震旦职业学院	Shanghai Aurora College
上海青年管理干部学院	
上海音乐学院	Shanghai Conservatory of Music
上饶卫生健康职业学院	Shangrao Health Vocational College
上饶师范学院	Shangrao Normal University
上饶幼儿师范高等专科学校	Shangrao Preschool Education College
上饶职业技术学院	Shangrao Vocational & Technical College / Shangrao Vocational Technical College
