# 反义词
# 整理自：
# https://github.com/guotong1988/chinese_dictionary
# http://fyc.5156edu.com
#
# 原始词	反义词

一	万
一	十
一	千
一不做，二不休	犹豫不决
一丘之貉	意气相投
一丘之貉	是非分明
一丘之貉	比众不同
一丘之貉	良师益友
一丘之貉	黑白分明
一丝一毫	成千累万
一丝不苟	丢三落四
一丝不苟	偷工减料
一丝不苟	敷衍了事
一丝不苟	浮光掠影
一丝不苟	粗心大意
一丝不苟	粗枝大叶
一丝不苟	草草了事
一丝不苟	马马虎虎
一举两得	事倍功半
一举两得	因小失大
一举两得	得不偿失
一举两得	鸡飞蛋打
一乾二净	不乾不净
一了百了	依然如故
一了百了	没完没了
一事无成	汗马功劳
一人传虚，万人传实	百炼成钢
一介不取	一网打尽
一代奸雄	一代风流
一代奸雄遗臭万年	一代风流
一代风流	遗臭万年
一以贯之	虎头蛇尾
一会儿	好一阵
一元论	多元论
一兵一卒	千军万马
一再	不再
一刀两断	依依不舍
一刀两断	千丝万缕
一刀两断	拖泥带水
一刀两断	纠缠不清
一刀两断	藕断丝连
一刀两断	难解难分
一分为二	相提并论
一切	部分
一切如故	万象更新
一刻千金	一日三秋
一刻千金	度日如年
一厢情愿	两相情愿
一去不复返	反复无常
一反常态	一如既往
一发千钧	稳如泰山
一向	有时
一呼百应	无人问津
一呼百诺	孤掌难鸣
一呼百诺	孤立无援
一命呜呼	长命百岁
一唱三叹	驴鸣狗吠
一团乱麻	丝丝入扣
一团和气	凶相毕露
一团和气	凶神恶煞
一团和气	蛮横无理
一团漆黑	了如指掌
一塌糊涂	井然有序
一夫之用	以一当十
一如既往	世态炎凉
一如既往	判若两人
一如既往	取而代之
一如既往	另起炉灶
一如既往	时过境迁
一如既往	朝令夕改
一孔之见	持平之论
一孔之见	见多识广
一字一泪	又说又笑
一字千金	一文不值
一官半职	父老兄弟
一官半职	黎民百姓
一官半职	黎民百姓父老兄弟
一定	倘若
一定	可能
一定	未必
一定之规	不时之需
一定之规	奥妙无穷
一寸丹心	奴颜媚骨
一寸丹心	狼心狗肺
一寸光阴一寸金	蹉跎岁月
一封家书	石沉大海
一封家书死灰复燃	石沉大海
一尘不染	欲壑难填
一尘不染	糖衣炮弹
一尘不染	贪得无厌
一帆风顺	一波三折
一帆风顺	势成骑虎
一帆风顺	备尝艰苦
一帆风顺	好事多磨
一帆风顺	横生枝节
一帆风顺	碰壁
一帆风顺	碰钉子
一帆风顺	碰鼻
一帆风顺	艰难曲折
一帆风顺	节外生枝
一帆风顺	逆水行舟
一干二净	邋里邋遢
一年半载	万古千秋
一年半载	千秋万代
一年生	多年生
一张一弛	严阵以待
一往情深	卸磨杀驴
一往情深	寡情薄义
一往情深	朝三暮四
一往情深	朝秦暮楚
一往情深	食肉寝皮
一往无前	固步自封
一往无前	故步自封
一往无前	溜之大吉
一往无前	趑趄不前
一往直前	瞻前顾后
一律	不同
一律	各异
一得之功	丰功伟绩
一得之见	博学多才
一得之见	真知灼见
一心	分心
一心一意	三心两意
一心一意	心猿意马
一心一意	筑室道谋
一心一意	见异思迁
一心二用	心无二用
一心二用三心二意	心无二用
一志	二心
一念之差	千差万别
一息奄奄	生气勃勃
一息尚存	寿终正寝
一意孤行	从善如流
一意孤行	博采众长
一意孤行	孤行己见
一意孤行	虚怀若谷
一意孤行	迷途知返
一意孤行	集思广益
一成一旅	千军万马
一成不变	一改故辙
一成不变	五彩缤纷
一成不变	千变万化
一成不变	变化多端
一成不变	变化无穷
一成不变	变化莫测
一成不变	变幻无常
一成不变	变幻莫测
一成不变	另起炉灶
一成不变	喜怒无常
一成不变	因地制宜
