# 外国高校名
# 教育部认证院校查询 https://www.smartedu.cn/home/servicehall?name=RZYXCX
# 
# 中文名称	外文名称	国家

艾因夏姆斯大学	Ain Shams University	埃及
爱资哈尔大学	Al-Azhar University	埃及
埃及日本科技大学	Egypt-Japan University of Science and Technology	埃及
埃及国际大学	Misr International University	埃及
阿瓦萨大学	Hawassa University	埃塞俄比亚
阿玛达科技大学	Adama Science and Technology University	埃塞俄比亚
安东布鲁克纳音乐表演与舞蹈艺术大学	Anton Bruckner Privatuniversität für Musik, Schauspiel und Tanz	奥地利
奥地利科学与技术学院	Institute of Science and Technology Austria	奥地利
安哥拉卢西亚达大学	Universidade Lusíada de Angola	安哥拉
澳大利亚凯斯林大学	Australian Catholic University	澳大利亚
澳大利亚国立大学	The Australian National University	澳大利亚
阿德莱德大学	The University of Adelaide	澳大利亚
澳大利亚圣母大学	The University of Notre Dame Australia	澳大利亚
澳大利亚联邦大学	Federation University Australia	澳大利亚
澳大利亚蓝带学院	Le Cordon Bleu Australia	澳大利亚
澳大利亚商业管理学院	Australian Institute of Business and Management	澳大利亚
澳大利亚航空学院	Aviation Australia	澳大利亚
澳大拉西亚理工学院	Academies Australasia Polytechnic	澳大利亚
澳大利亚音乐学院	The Australian Institute of Music	澳大利亚
澳大利亚应用心理学院	Australian College of Applied Psychology	澳大利亚
埃斯伯利商业技术学院	Eynesbury Institute of Business and Technology	澳大利亚
澳津高等教育学院	OZFORD Institute of Higher Education	澳大利亚
澳大利亚国立管理与商业学院	Australian National Institute of Management and Commerce	澳大利亚
澳大利亚商学院	Australian Institute of Business	澳大利亚
澳大利亚肯特学院	Kent Institute Australia	澳大利亚
埃斯伯利学院	Eynesbury College	澳大利亚
澳大利亚怀特豪斯设计学院	Whitehouse Institute of Design, Australia	澳大利亚
澳大利亚高等教育学院	Australian Institute of Higher Education	澳大利亚
澳大利亚自然疗法学院	Australasian College of Natural Therapies	澳大利亚
澳大利亚理工学院	Polytechnic Institute Australia	澳大利亚
澳大利亚与新西兰特许会计师协会	Chartered Accountants Australia and New Zealand	澳大利亚
阿德莱德高等教育学院	Adelaide Institute of Higher Education	澳大利亚
澳大利亚中汇学院	Edvantage Institute Australia	澳大利亚
爱尔兰国立大学-高威	National University of Ireland, Galway	爱尔兰
爱尔兰国立大学梅努斯分校	National University of Ireland, Maynooth	爱尔兰
爱沙尼亚音乐与戏剧学院	Estonian Academy of Music and Theatre	爱沙尼亚
爱沙尼亚生命科学大学	Estonian University of Life Sciences	爱沙尼亚
爱沙尼亚商学院	Estonian Business School	爱沙尼亚
爱沙尼亚艺术学院	Eesti Kunstiakadeemia	爱沙尼亚
爱沙尼亚艺术学院	Estonian Academy of Arts	爱沙尼亚
阿塞拜疆国立石油与工业大学	Azerbaijan State Oil and Industry University	阿塞拜疆
阿塞拜疆国立师范大学	Azerbaijan State Pedagogical University	阿塞拜疆
阿塞拜疆国立经济大学	Azerbaijan State University of Economics	阿塞拜疆
阿塞拜疆理工大学	Azerbaijan Technical University	阿塞拜疆
阿塞拜疆建筑大学	Azerbaijan University of Architecture and Construction	阿塞拜疆
阿塞拜疆外交大学	ADA University	阿塞拜疆
阿布·阿里·伊本·西那喀布尔医科大学	Kabul University of Medical Sciences Abu Ali Ibn Sina	阿富汗
安纳巴巴吉穆赫塔尔大学	Université Badji Mokhtar -Annaba	阿尔及利亚
阿卜·艾勒卡西姆·萨达拉阿尔及尔第二大学	Université d’Alger 2 Abou el Kacem Saâdallah	阿尔及利亚
阿尔巴尼亚地中海大学	Universiteti Mesdhetar I Shqiperise	阿尔巴尼亚
阿根廷企业大学	Universidad Argentina de la Empresa	阿根廷
阿根廷约翰·肯尼迪大学	Universidad Argentina John F. Kennedy	阿根廷
阿根廷天主教大学	Pontificia Universidad Católica Argentina "Santa María de los Buenos Aires"	阿根廷
阿联酋航空大学	Emirates Aviation University	阿联酋
阿联酋大学	United Arab Emirates University	阿联酋
阿联酋酒店管理学院	The Emirates Academy of Hospitality Management	阿联酋
半岛计算机和行政信息系统学院	El-Gazeera High Institute for Computer and Administrative information Systems	埃及
本哈大学	Benha University	埃及
巴哈达大学	Bahir Dar University	埃塞俄比亚
布尔根兰高等专业学院	Fachhochschule Burgenland	奥地利
邦德大学	Bond University	澳大利亚
