# 8万精准超小词库
# 原始出处未知，原词中多音字注音移除，补充完整拼音，第一个词“是的这个”改成“是的”
# https://github.com/studyzy/imewlconverter/blob/master/参考/8万精准超小词库.txt
#
# 词语	拼音	多音字备注

是的	shi de	
这个	zhe ge	这zhe
这些	zhe suo	这zhe
应该	ying gai	
进行	jin xing	行xing
政府	zheng fu	
产品	chan pin	
支持	zhi chi	
国家	guo jia	家jia
单位	dan wei	单dan
世界	shi jie	
科技	ke ji	
电子	dian zi	
为了	wei le	了le
电话	dian hua	
建议	jian yi	
希望	xi wang	
关于	guan yu	
方式	fang shi	
个人	ge ren	
系统	xi tong	系xi
一些	yi suo	
其他	qi ta	其qi
活动	huo dong	
论坛	lun tan	
内容	na rong	
法规	fa gui	
这样	zhe yang	这zhe
现在	xian zai	
利用	li yong	
通过	tong guo	
发布	fa bu	
还有	hai you	还hai
发展	fa zhan	
第一	di yi	
已经	yi jing	
时候	shi hou	
问题	wen ti	
极了	ji le	了le
人员	ren yuan	员yuan
安全	an quan	
忘记	wang ji	
漂亮	piao liang	
更多	geng duo	
法律	fa lv	
实施	shi shi	
妈妈	ma ma	
或者	huo zhe	
动态	dong tai	
可以	ke yi	
没有	mei you	没mei
也是	ye shi	
理论	li lun	
开发	kai fa	
条件	tiao jian	
市场	shi chang	
帖子	tie zi	
广告	guang gao	广guang
如果	ru guo	
什么	shen me	什shen|么me
准备	zhun bei	
经济	jing ji	
图片	tu pian	
城市	cheng shi	
人民	ren min	
最后	zui hou	
科学	ke xue	
开始	kai shi	
方面	fang mian	
帮助	bang chu	
一定	yi ding	
情况	qing kuang	
名称	ming cheng	称cheng
只能	zhi nai	
国内	guo na	
全国	quan guo	
如何	ru he	
部分	bu fen	
交流	jiao liu	
昨天	zuo tian	
正在	zheng zai	
全部	quan bu	
地方	di fang	地di
关闭	guan bi	
了解	liao jie	了liao|解jie
返回	fan hui	
这里	zhe li	这zhe
加入	jia ru	
东西	dong xi	
加强	jia qiang	强qiang
处理	chu li	
软件	ruan jian	
自己	zi ji	
培训	pei xun	
必须	bi xu	
同时	tong shi	
文化	wen hua	
需要	xu yao	
自然	zi ran	
作品	zuo pin	
知道	zhi dao	
控制	kong zhi	
能力	nai li	
一切	yi qie	
特别	te bie	
参加	can jia	参can
他们	ta men	
健康	jian kang	
下面	xia mian	
今天	jin tian	
今年	jin nian	
一次	yi ci	
美国	mei guo	
出现	chu xian	
朋友	peng you	
完成	wan cheng	
一样	yi yang	
结果	jie guo	
决定	jue ding	
因为	yin wei	
网上	wang shang	
规划	gui hua	划hua
参与	can yu	参can
水平	shui ping	
关系	guan xi	系xi
显示	xian shi	
设置	she zhi	
成为	cheng wei	
目前	mu qian	
不断	bu duan	
形成	xing cheng	
代表	dai biao	
按照	an zhao	
比较	bi jiao	
可能	ke nai	
农村	nong cun	
多么	duo me	么me
地区	di qu	地di|区qu
环境	huan jing	
电脑	dian nao	
方法	fang fa	
