# 8万精准超小词库
# 原始出处未知，多音字注音移除，第一个词“是的这个”改成“是的”
# https://github.com/studyzy/imewlconverter/blob/master/参考/8万精准超小词库.txt
#
# 词语	多音字备注

是的	
这个	这zhe
这些	这zhe
应该	
进行	行xing
政府	
产品	
支持	
国家	家jia
单位	单dan
世界	
科技	
电子	
为了	了le
电话	
建议	
希望	
关于	
方式	
个人	
系统	系xi
一些	
其他	其qi
活动	
论坛	
内容	
法规	
这样	这zhe
现在	
利用	
通过	
发布	
还有	还hai
发展	
第一	
已经	
时候	
问题	
极了	了le
人员	员yuan
安全	
忘记	
漂亮	
更多	
法律	
实施	
妈妈	
或者	
动态	
可以	
没有	没mei
也是	
理论	
开发	
条件	
市场	
帖子	
广告	广guang
如果	
什么	什shen|么me
准备	
经济	
图片	
城市	
人民	
最后	
科学	
开始	
方面	
帮助	
一定	
情况	
名称	称cheng
只能	
国内	
全国	
如何	
部分	
交流	
昨天	
正在	
全部	
地方	地di
关闭	
了解	了liao|解jie
返回	
这里	这zhe
加入	
东西	
加强	强qiang
处理	
软件	
自己	
培训	
必须	
同时	
文化	
需要	
自然	
作品	
知道	
控制	
能力	
一切	
特别	
参加	参can
他们	
健康	
下面	
今天	
今年	
一次	
美国	
出现	
朋友	
完成	
一样	
结果	
决定	
因为	
网上	
规划	划hua
参与	参can
水平	
关系	系xi
显示	
设置	
成为	
目前	
不断	
形成	
代表	
按照	
比较	
可能	
农村	
多么	么me
地区	地di|区qu
环境	
电脑	
方法	
历史	
基本	
事情	
不能	
领导	
经常	
第二	
下列	
日期	期qi
得到	得de
品牌	
不是	
部门	
作为	
设备	
免费	
网友	
还是	还hai
全球	
发现	
其中	其qi
人大	大da
娱乐	乐le
计划	划hua
清楚	
包括	括kuo
大家	大da|家jia
如此	
无关	无wu
不同	
判断	
学科	
到了	了le
每天	
但是	
全面	
参考	参can
成功	
目标	
方案	
非常	
反馈	
两个	
实现	
而且	且qie
购买	
一般	般ban
先进	
并不	
过程	
原则	
日本	
是我	
调查	调diao|查cha
只是	
提出	提ti
认为	
列表	
里面	
模式	模mo
不会	会hui
充分	
客户	
取得	得de
怎么	么me
才能	
天下	
如下	
普通	
消费	
能够	
时代	
特点	
起来	
虽然	
采取	
出版	
需求	
就在	
看到	
现代	
是否	否fou
精品	
存在	
讨论	
完全	
稳定	
传统	传chuan
公开	
楼主	
安排	
程度	度du
数量	数shu
喜欢	
共同	
破坏	坏huai
同意	
一天	
保持	
人生	
那样	那na
那么	那na|么me
不要	
不过	
三个	
展开	
联合	合he
美女	
评价	价jia
无法	无wu
很难	
寂寞	
美丽	
南京	南nan
反映	
千万	万wan
民族	
一年	
目的	的di
突然	
民间	
一面	
规范	
期间	期qi
难道	
认真	
天空	
研发	
之前	
明显	
有人	
天气	
青年	
提问	提ti
韩国	
其实	其qi
并且	且qie
过去	
那些	那na
档案	
快乐	乐le
理念	
另外	
好像	
给我	给gei
当然	
人口	
一片	
文学	
性能	
伙伴	
呵呵	呵he|呵he
平常	
内部	
看看	
身体	
所谓	
爱好	
佩服	
多个	
办理	
海外	
确认	
权限	
而是	
本人	
配置	
解放	解jie
十二	
芯片	
案例	
考察	
立场	
儿童	
备案	
把握	
性别	
普遍	
喜爱	
从而	
后来	
例如	
福建	
少年	
每日	
那种	那na|种zhong
切换	
较为	
思考	思si
男女	
评估	
公安	
回复	
欧洲	
年轻	
离开	
无奈	无wu
游客	
人类	
反对	
分配	
二次	
仍然	
话题	
女孩	
老婆	
物品	
我不	
微软	
我啊	
开通	
平时	
充满	
您是	
常常	
美好	
打开	
排名	
探讨	
让你	
然而	
父亲	亲qin
刊物	
客观	
爱国	
发帖	
往往	
公平	
点评	
策划	划hua
可爱	
奥运	
号码	
安慰	
金额	
能否	否fou
开启	
这儿	这zhe
体会	会hui
恐怕	
缺乏	
而不	
恐怖	
澳门	
很快	
和平	和he
爱你	
安静	
贫困	
门票	
障碍	
获取	
妇女	
内外	
我看	
开幕	
二届	
爱心	
好处	
那天	那na
图案	
显然	
欧美	
浪费	
乐趣	乐le
平安	
客人	
儿子	
门口	
因而	
而来	
女儿	
反而	
恶意	恶e
繁荣	繁fan
忽然	
品味	
恋爱	
承认	
热爱	
头脑	
草案	
迫切	迫po
难看	
爱上	
不怕	
安定	
是啊	
头发	
偶尔	
欺骗	
邪恶	邪xie|恶e
其二	其qi
议案	
骗人	
人品	
海尔	
贝尔	
骄傲	
好啊	
而我	
偶像	
名为	
偶然	
爱人	
哪怕	哪na
恶心	恶e
亲爱	亲qin
而后	
恶搞	恶e
而非	
西欧	
而对	
欧元	
二人	
爱他	
配额	
中欧	
母爱	
木偶	
儿科	
海鸥	
欧文	
卡尔	卡ka
欧宝	
乳房	房fang
儿女	
名额	
天鹅	
配偶	
人偶	
恶魔	恶e
呕吐	
欧式	
高额	
威尔	
北欧	
陪你	
暗暗	
殴打	
奇偶	奇ji
暗藏	藏cang
你啊	
安抚	
爱看	
藕粉	
怄气	
干呕	
信息	
网站	
技术	术shu
首页	
所有	
建设	
中国	
用户	
中心	
一个	
使用	
时间	
地址	地di
网络	络luo
教育	育yu
新闻	
有限	
国际	
主要	
位置	
来源	
欢迎	
注册	
研究	
生活	
资源	
在线	
文件	
评论	
搜索	
密码	
合作	合he
选择	择ze
以上	
重要	重zhong
浏览	
推荐	
收藏	藏cang
介绍	
投资	
留言	
主办	
提供	提ti
提高	提ti
综合	综zong|合he
设计	
咨询	
社会	会hui
答应	
本站	
行业	行hang
阅读	读du
地图	地di
指南	南nan
任何	
专业	
专题	
下载	
作者	
访问	
建立	
上海	
最新	
会议	会hui
连接	
链接	
通知	
发表	
影响	
资料	
政策	
进入	
大学	大da
组织	
责任	
规定	
招聘	
制作	
重点	重zhong
解决	解jie
开展	
有关	
要求	
标准	
统计	
意见	见jian
范围	
项目	
交通	
注意	
查询	查cha
分类	
详细	
由于	
经验	
工业	
价格	价jia
会员	会hui|员yuan
为首	
产业	
改革	革ge
友情	
增加	
销售	
作用	
机关	
工商	
不得	得de
宣传	传chuan
以及	
游戏	戏xi
北京	
编辑	
机构	
生产	
代码	
修改	
功能	
中华	
手机	
